"240,0.0277516029432351"
"480,0.02659861224365"
"720,0.0301939563388238"
"960,0.0265345571080071"
"1200,0.0331290353821691"
"1440,0.0262693378619919"
"1680,0.0167748345005699"
"1920,0.01631519055753"
"2160,0.0208309513807566"
"2400,0.0224448031085143"
"2640,0.0204036943954233"
"2880,0.0239905376936716"
"3120,0.0296176315834704"
"3360,0.0228980227179962"
"3600,0.0227633360202411"
"3840,0.017639108819247"
"4080,0.02549846096963"
"4320,0.0213776993812749"
"4560,0.0217769275867262"
"4800,0.0226378325259257"
"5040,0.0182636755801561"
