"240,0.163155880453736"
"480,0.151541207083362"
"720,0.124936591295295"
"960,0.131985909982412"
"1200,0.065976425956478"
"1440,0.224529771442514"
"1680,0.0670623308419197"
"1920,0.112124122096082"
"2160,0.149953302265396"
"2400,0.18235708244766"
"2640,0.19567392255774"
"2880,0.0838141851327809"
"3120,0.16904911825122"
"3360,0.149989383502161"
"3600,0.139014119831186"
"3840,0.0752073448111136"
"4080,0.0854012562492237"
"4320,0.168868054204076"
"4560,0.186185486710705"
"4800,0.109096263905202"
"5040,0.105033804534821"
