"240,0.312440726493438"
"480,0.299286455610319"
"720,0.283769309148712"
"960,0.31491678288347"
"1200,0.305516479533451"
"1440,0.295873551398014"
"1680,0.312780154805966"
"1920,0.331099751656033"
"2160,0.294892391469569"
"2400,0.326427346220211"
"2640,0.323202739495272"
"2880,0.307149780872394"
"3120,0.260862940876406"
"3360,0.290086279531532"
"3600,0.329385906018648"
"3840,0.337121447082572"
"4080,0.30195387604069"
"4320,0.318469316899346"
"4560,0.304245247951139"
"4800,0.257189527261272"
"5040,0.311717060342164"
