"240,0.011835579083364"
"480,0.0122921339377867"
"720,0.0138402208563418"
"960,0.0125187302122076"
"1200,0.0148570916032518"
"1440,0.0115877324858957"
"1680,0.00801711921897495"
"1920,0.00807542518274595"
"2160,0.0105536113824047"
"2400,0.0100584279738281"
"2640,0.00913635363834777"
"2880,0.0101158128684479"
"3120,0.012980156704773"
"3360,0.00953804644430661"
"3600,0.010660165117197"
"3840,0.00841056281898872"
"4080,0.0112498085839486"
"4320,0.00956296286969962"
"4560,0.0102428579865606"
"4800,0.0100229200099933"
"5040,0.00861705503974845"
