"240,0.963309386382692"
"480,0.96518175439661"
"720,0.960562041761102"
"960,0.965071906585823"
"1200,0.956639415291633"
"1440,0.965408998080444"
"1680,0.977614307583114"
"1920,0.978340323582076"
"2160,0.972488402890172"
"2400,0.970450415615093"
"2640,0.97303696281784"
"2880,0.968436686117039"
"3120,0.961163281863681"
"3360,0.969755946339598"
"3600,0.969922167624773"
"3840,0.976623313257522"
"4080,0.966464336687065"
"4320,0.971771577941327"
"4560,0.971269744088874"
"4800,0.970053971974667"
"5040,0.975784328696326"
