"240,0.278907709432336"
"480,0.301820626164522"
"720,0.313168622387303"
"960,0.308466699886455"
"1200,0.270358600126331"
"1440,0.262141687169617"
"1680,0.280287363082726"
"1920,0.235258177121655"
"2160,0.28995206839467"
"2400,0.236676631662405"
"2640,0.304798298547956"
"2880,0.242840092379115"
"3120,0.278073014443392"
"3360,0.266146757700041"
"3600,0.241630424421127"
"3840,0.219316958351202"
"4080,0.254067632977391"
"4320,0.280802446996352"
"4560,0.206717933462331"
"4800,0.250534969649172"
"5040,0.226626399087021"
