"240,0.747147886426741"
"480,0.709016735347405"
"720,0.704384572320827"
"960,0.632950640167752"
"1200,0.786383092627365"
"1440,0.721806661246427"
"1680,0.86722116737865"
"1920,0.660541157407834"
"2160,0.700607270527862"
"2400,0.739179717448668"
"2640,0.809958633603593"
"2880,0.774480478944991"
"3120,0.745080143126652"
"3360,0.67933415688043"
"3600,0.731530541178178"
"3840,0.7268569229995"
"4080,0.759668337273995"
"4320,0.788959066144626"
"4560,0.711677820014957"
"4800,0.702228097005048"
"5040,0.776026005011503"
