"240,0.970540428219999"
"480,0.985233826588351"
"720,0.936584945509665"
"960,0.955024521241455"
"1200,0.943201336110223"
"1440,0.895325414360464"
"1680,0.989934483577132"
"1920,0.978824056350803"
"2160,0.933088704285174"
"2400,0.918562480567211"
"2640,0.882022040963935"
"2880,0.935508181382545"
"3120,0.915479975034852"
"3360,0.894891277352455"
"3600,0.993286089785785"
"3840,0.976112528777404"
"4080,0.963857735754603"
"4320,0.991164498061406"
"4560,0.930623727980336"
"4800,0.990946446953664"
"5040,0.885479032940127"
