"240,0.975922671984657"
"480,0.987603670373118"
"720,0.944128706224526"
"960,0.941978175371481"
"1200,0.954117964248515"
"1440,0.915422277421631"
"1680,0.986366805674845"
"1920,0.981410544871639"
"2160,0.948294049276781"
"2400,0.932735534067796"
"2640,0.90503528267047"
"2880,0.941917915793712"
"3120,0.929109971042326"
"3360,0.90496197575086"
"3600,0.976704804117674"
"3840,0.97861838509077"
"4080,0.932560641891784"
"4320,0.975304227733936"
"4560,0.9271883727175"
"4800,0.975653730101507"
"5040,0.903452753165153"
