"240,0.0233541688635255"
"480,0.0115858120847618"
"720,0.0569472996532297"
"960,0.0404733983962379"
"1200,0.0526204375742246"
"1440,0.0934370532921342"
"1680,0.00837426817401702"
"1920,0.0194841621291749"
"2160,0.062000842366457"
"2400,0.0660431430662698"
"2640,0.100740900328448"
"2880,0.0590651232509138"
"3120,0.0786323766441893"
"3360,0.0941460099735189"
"3600,0.00522517112389403"
"3840,0.0218655446015133"
"4080,0.0320494810680873"
"4320,0.00709112379654941"
"4560,0.0637852340786564"
"4800,0.00779622010492059"
"5040,0.0992429209443202"
