"240,0.211665111254291"
"480,0.200139765137625"
"720,0.201225496660692"
"960,0.200370717856913"
"1200,0.204348135305535"
"1440,0.188324623222405"
"1680,0.164567553289736"
"1920,0.173041155533902"
"2160,0.174550545678561"
"2400,0.176042227211191"
"2640,0.17426125093578"
"2880,0.180503884521087"
"3120,0.191348090785858"
"3360,0.174298787324646"
"3600,0.190334095008349"
"3840,0.165287091733857"
"4080,0.177797135842273"
"4320,0.172910867289063"
"4560,0.19462662021612"
"4800,0.171184320092222"
"5040,0.170738107772992"
