"240,0.389020550465402"
"480,0.455833144273187"
"720,0.550861209420545"
"960,0.46647629471545"
"1200,0.576722211268782"
"1440,0.381749737399415"
"1680,0.266378028021751"
"1920,0.306872375082033"
"2160,0.320920243674028"
"2400,0.341630021812853"
"2640,0.38032690642557"
"2880,0.345394178730697"
"3120,0.409834907117416"
"3360,0.336426426454186"
"3600,0.409664487537587"
"3840,0.290670839323879"
"4080,0.395926875447085"
"4320,0.316214701852257"
"4560,0.43674000231431"
"4800,0.309508248740976"
"5040,0.339541899095097"
