"240,0.0870673454868051"
"480,0.0796055033109069"
"720,0.0761729276022439"
"960,0.072016359200069"
"1200,0.0870164206842008"
"1440,0.0843021791149833"
"1680,0.0751862310036546"
"1920,0.0816276588959502"
"2160,0.0791165118497869"
"2400,0.0795082791646375"
"2640,0.075990791204112"
"2880,0.0777838674675545"
"3120,0.0821203358173205"
"3360,0.0734048346480203"
"3600,0.0738000255963534"
"3840,0.08356672303102"
"4080,0.0838094401038498"
"4320,0.0790874491381842"
"4560,0.0798708942719202"
"4800,0.0808097241285487"
"5040,0.0803250151903558"
