"240,0.256866642039173"
"480,0.267243007759232"
"720,0.243208014736594"
"960,0.223088382692132"
"1200,0.324016510942696"
"1440,0.300187345877901"
"1680,0.248299466789229"
"1920,0.267774984720999"
"2160,0.260636823906179"
"2400,0.252109703853143"
"2640,0.206140494034115"
"2880,0.235852028408155"
"3120,0.289613001295322"
"3360,0.240050129607041"
"3600,0.203206208656111"
"3840,0.326461987127085"
"4080,0.290291815711153"
"4320,0.235660484155509"
"4560,0.269592232739412"
"4800,0.322135944231835"
"5040,0.245801707745766"
