"240,0.852283336707032"
"480,0.949095954963976"
"720,0.853634906128741"
"960,0.869041541787695"
"1200,0.781545254332457"
"1440,0.890629651862307"
"1680,0.947153702598748"
"1920,0.832004659154169"
"2160,0.866165308072634"
"2400,0.79058626020782"
"2640,0.884341559743171"
"2880,0.872861819183617"
"3120,0.889683404038978"
"3360,0.870475238478431"
"3600,0.896604411804721"
"3840,0.934447368354123"
"4080,0.838447229337331"
"4320,0.867035810665241"
"4560,0.834998434023103"
"4800,0.874606460980889"
"5040,0.956146559781474"
