"240,0.26742132656841"
"480,0.0463702517631032"
"720,0.322148540265515"
"960,0.809723052662858"
"1200,0.308952586161147"
"1440,0.174091934320071"
"1680,0.0417141144103512"
"1920,0.367281808084498"
"2160,0.339786371789506"
"2400,0.332265848358399"
"2640,0.170591451140043"
"2880,0.239662666078563"
"3120,0.199738797861292"
"3360,0.276402782147138"
"3600,0.0965609666784216"
"3840,0.11425430257236"
"4080,0.392539501893915"
"4320,0.77969595286207"
"4560,0.209552651220303"
"4800,1.04323385197458"
"5040,0.0226011524904825"
