"240,0.257285118103027"
"480,0.176527976989746"
"720,0.0448801517486572"
"960,0.0368969440460205"
"1200,0.0448811054229736"
"1440,0.0598399639129639"
"1680,0.0408971309661865"
"1920,0.0289227962493896"
"2160,0.0319130420684814"
"2400,0.0349071025848389"
"2640,0.0378990173339844"
"2880,0.0498950481414795"
"3120,0.0289220809936523"
"3360,0.115689992904663"
"3600,0.0438880920410156"
"3840,0.0379271507263184"
"4080,0.038895845413208"
"4320,0.0299201011657715"
"4560,0.0249330997467041"
"4800,0.0498669147491455"
"5040,0.0538570880889893"
