"240,0.216421842575073"
"480,0.0359039306640625"
"720,0.0349271297454834"
"960,0.0448789596557617"
"1200,0.0399210453033447"
"1440,0.0359039306640625"
"1680,0.0428800582885742"
"1920,0.0339019298553467"
"2160,0.0378999710083008"
"2400,0.0319399833679199"
"2640,0.0269289016723633"
"2880,0.0369009971618652"
"3120,0.0368969440460205"
"3360,0.0568490028381348"
"3600,0.0428950786590576"
"3840,0.0508649349212646"
"4080,0.0349349975585938"
"4320,0.0329129695892334"
"4560,0.0279030799865723"
"4800,0.0498661994934082"
"5040,0.0309450626373291"
