"240,0.225492170665274"
"480,0.0799283277973489"
"720,0.0908670489290492"
"960,0.081389088511763"
"1200,0.10999429744289"
"1440,0.109339535744725"
"1680,0.0717053772802343"
"1920,0.0903912100948737"
"2160,0.0905898640520474"
"2400,0.0844107036172568"
"2640,0.120364613350329"
"2880,0.0860973275928935"
"3120,0.107964631053251"
"3360,0.066688363374297"
"3600,0.0940841784536874"
"3840,0.0912122517706572"
"4080,0.116117538627529"
"4320,0.0969711444280442"
"4560,0.113575156493"
"4800,0.103717672285802"
"5040,0.0996418621664507"
