"240,0.586815780572018"
"480,0.67586953669761"
"720,0.534119791205172"
"960,0.500180016267205"
"1200,0.307783586599469"
"1440,0.633050091476835"
"1680,0.429849171540788"
"1920,0.748288398888362"
"2160,0.593155603183546"
"2400,0.599583301604575"
"2640,0.42213244563442"
"2880,0.707183175489257"
"3120,0.772351772023323"
"3360,0.420091281619858"
"3600,0.578987549232042"
"3840,0.326998081690201"
"4080,0.576308707917976"
"4320,0.285397819735031"
"4560,0.712013638265258"
"4800,0.803280685032682"
"5040,0.542149421180829"
