"240,0.933109811938338"
"480,0.948451601094259"
"720,0.956000218739032"
"960,0.950202518188772"
"1200,0.944236586854038"
"1440,0.951272199146815"
"1680,0.957008488537627"
"1920,0.965226067147494"
"2160,0.965131819822561"
"2400,0.681106327618019"
"2640,0.942074510727114"
"2880,0.947010318265083"
"3120,0.956302273496739"
"3360,0.967579753247313"
"3600,0.967115899241891"
"3840,0.966734921743107"
"4080,0.953208264309358"
"4320,0.96545059298938"
"4560,0.967542767996838"
"4800,0.958404206188109"
"5040,0.722898912828758"
