"240,0.013962984085083"
"480,0.0229392051696777"
"720,0.0169551372528076"
"960,0.0728001594543457"
"1200,0.0199458599090576"
"1440,0.0269279479980469"
"1680,0.0318849086761475"
"1920,0.0189290046691895"
"2160,0.0239357948303223"
"2400,0.0269289016723633"
"2640,0.0179531574249268"
"2880,0.0169601440429688"
"3120,0.0139360427856445"
"3360,0.0179531574249268"
"3600,0.032912015914917"
"3840,0.0149590969085693"
"4080,0.0169548988342285"
"4320,0.028933048248291"
"4560,0.0169820785522461"
"4800,0.0139539241790771"
"5040,0.0119638442993164"
