"240,0.358042001724243"
"480,0.143593072891235"
"720,0.141620874404907"
"960,0.195477962493896"
"1200,0.113696098327637"
"1440,0.110703945159912"
"1680,0.109734058380127"
"1920,0.123669862747192"
"2160,0.11167311668396"
"2400,0.111729145050049"
"2640,0.115703821182251"
"2880,0.115689992904663"
"3120,0.1167151927948"
"3360,0.111701965332031"
"3600,0.116664171218872"
"3840,0.116710901260376"
"4080,0.116659879684448"
"4320,0.112699031829834"
"4560,0.112669944763184"
"4800,0.116688013076782"
"5040,0.112699031829834"
