"240,2.41172084497134e-05"
"480,1.34255409307471e-05"
"720,1.73346723031685e-05"
"960,1.90910676939079e-05"
"1200,1.55288297668028e-05"
"1440,1.03683498655499e-05"
"1680,3.96079797373496e-06"
"1920,2.21973657385834e-05"
"2160,1.89888856050054e-05"
"2400,1.73475240842654e-05"
"2640,1.17810504783102e-05"
"2880,1.85807362114183e-05"
"3120,1.27275991591681e-05"
"3360,1.63140200395888e-05"
"3600,8.16407639601191e-06"
"3840,9.69338341349118e-06"
"4080,1.26757044655289e-05"
"4320,1.79706822903872e-05"
"4560,1.24463135261285e-05"
"4800,2.05577127233939e-05"
"5040,2.58012716880045e-06"
