"240,0.875631998342082"
"480,0.875829494824855"
"720,0.846700438094597"
"960,0.867984198380753"
"1200,0.865869709686297"
"1440,0.860105461149193"
"1680,0.891345585152254"
"1920,0.895023158841896"
"2160,0.90154176570953"
"2400,0.895627119087295"
"2640,0.886175316874153"
"2880,0.89377101993789"
"3120,0.853823481906666"
"3360,0.895782243508249"
"3600,0.881179871664819"
"3840,0.90388548974202"
"4080,0.901286667740993"
"4320,0.864532803199387"
"4560,0.899038511045878"
"4800,0.890892965239568"
"5040,0.893208660149059"
