"240,0.0229160785675049"
"480,0.0329389572143555"
"720,0.0378999710083008"
"960,0.0349380970001221"
"1200,0.0369019508361816"
"1440,0.0179519653320312"
"1680,0.0388951301574707"
"1920,0.0448799133300781"
"2160,0.0478999614715576"
"2400,0.0558509826660156"
"2640,0.032912015914917"
"2880,0.0239360332489014"
"3120,0.0209441184997559"
"3360,0.029918909072876"
"3600,0.0179522037506104"
"3840,0.0179510116577148"
"4080,0.0229389667510986"
"4320,0.0279238224029541"
"4560,0.0249338150024414"
"4800,0.0438859462738037"
"5040,0.0169548988342285"
