;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.020292697;0.138051576;0.018325701
2400;0.009937979;0.084410867;0.026566612
3600;0.008677634;0.094084087;0.003009922
4800;0.016235158;0.103717683;0.003141202
6000;0.005873279;0.063960095;0.019136362
