;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.095257636;0.055469184;6.00E-06
2400;0.07019246;0.034555031;8.18E-06
3600;0.068452194;0.039599532;1.03E-06
4800;0.084832236;0.041946495;4.92E-07
6000;0.05757165;0.032314597;5.56E-06
