;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.055881977;0.050063848;0.457712173
2400;0.139713049;0.030920029;1.701133966
3600;0.052883863;0.072829008;0.434257984
4800;0.134119034;0.04488802;0.853664875
6000;0.085798025;0.252835989;0.636634827
