;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.968994498;0.810718463;0.954117954
2400;0.981336424;0.831886544;0.932735553
3600;0.983988785;0.818341871;0.976704804
4800;0.973911589;0.798775588;0.97565373
6000;0.98775631;0.865486025;0.956537723
