"240,0.770751867726167"
"480,0.772555355693484"
"720,0.816871588973742"
"960,0.794731119992567"
"1200,0.756063337690345"
"1440,0.833048056758132"
"1680,0.906760910986554"
"1920,0.813276579231993"
"2160,0.830426788048121"
"2400,0.831097196054512"
"2640,0.871086273267192"
"2880,0.829507166358381"
"3120,0.809589513726621"
"3360,0.844838619095719"
"3600,0.850091639675911"
"3840,0.801015896653149"
"4080,0.680859977420562"
"4320,0.772220710193974"
"4560,0.798107457879489"
"4800,0.819535373924886"
"5040,0.862002489290145"
