"240,0.756671330163312"
"480,0.838533034519799"
"720,0.825580228860692"
"960,0.74264143811687"
"1200,0.760889741665197"
"1440,0.867250735181327"
"1680,0.950820727041511"
"1920,0.846809979218858"
"2160,0.857405511587017"
"2400,0.872424947900417"
"2640,0.909843082121844"
"2880,0.88715810164147"
"3120,0.852582568282855"
"3360,0.89833767178598"
"3600,0.847275543596486"
"3840,0.838073642546069"
"4080,0.708401730471581"
"4320,0.833676637909621"
"4560,0.823143663782199"
"4800,0.800551005729743"
"5040,0.919715195462943"
