"240,0.0841319666354961"
"480,0.0773820755827951"
"720,0.0723192529183504"
"960,0.0688939148179056"
"1200,0.0838269291609634"
"1440,0.0772529270383264"
"1680,0.0725879411654052"
"1920,0.0746450785285309"
"2160,0.0760933767935401"
"2400,0.0779217449334732"
"2640,0.0741745354969572"
"2880,0.0749645541728959"
"3120,0.079412825361678"
"3360,0.0735032909618574"
"3600,0.0710555493251649"
"3840,0.0807211760133288"
"4080,0.0814664521757534"
"4320,0.0771236222463686"
"4560,0.0740969985943066"
"4800,0.0779178023944653"
"5040,0.0756073117618756"
