"240,0.740811510659133"
"480,0.752915248889985"
"720,0.760324901114065"
"960,0.749353091600695"
"1200,0.714001446386518"
"1440,0.732294995333339"
"1680,0.767364398334755"
"1920,0.774453717690442"
"2160,0.760992467452961"
"2400,0.756417032579876"
"2640,0.757620792744586"
"2880,0.778151106297601"
"3120,0.74861902364519"
"3360,0.724576568000463"
"3600,0.76777061467448"
"3840,0.739552946551455"
"4080,0.718313480601568"
"4320,0.763837649458136"
"4560,0.759671516133858"
"4800,0.758376107414989"
"5040,0.75261570256412"
