"240,0.292889667017547"
"480,0.284225844787404"
"720,0.24594688210824"
"960,0.105854810283159"
"1200,0.0148570857207797"
"1440,0.0115877438616643"
"1680,0.00801712042625601"
"1920,0.00807541491387156"
"2160,0.0105536311724449"
"2400,0.010058444343594"
"2640,0.00913635884801304"
"2880,0.0101157954570594"
"3120,0.0129801485717057"
"3360,0.00953806040369392"
"3600,0.0106601429211348"
"3840,0.00841056061294308"
"4080,0.0112498105553061"
"4320,0.0095629675827588"
"4560,0.0102428571162427"
"4800,0.0100229299713911"
"5040,0.00861705185438801"
