"240,0.265230648297761"
"480,0.267548161602401"
"720,0.275660801961807"
"960,0.226563306768819"
"1200,0.136185039408369"
"1440,0.126654829049208"
"1680,0.10948199280924"
"1920,0.105365646583579"
"2160,0.11761094560051"
"2400,0.115197891129233"
"2640,0.103013420894949"
"2880,0.1126577765381"
"3120,0.131716822188045"
"3360,0.106301614881593"
"3600,0.122024626329881"
"3840,0.104229338414437"
"4080,0.11484899242984"
"4320,0.114979853586207"
"4560,0.109684198974447"
"4800,0.117811497988287"
"5040,0.105320994831408"
