"240,0.818446899282481"
"480,0.863800352938547"
"720,0.854747699803127"
"960,0.864669826605737"
"1200,0.835999813576544"
"1440,0.827133511108058"
"1680,0.878691613161244"
"1920,0.815425334913749"
"2160,0.847790191686248"
"2400,0.855824543465114"
"2640,0.816333879181705"
"2880,0.853132498865918"
"3120,0.783037311457021"
"3360,0.886293636079909"
"3600,0.853028189574961"
"3840,0.844666250574786"
"4080,0.835348007786574"
"4320,0.842836649121743"
"4560,0.826047005297199"
"4800,0.819607979647444"
"5040,0.826171806972185"
