"600,1.42535810072809e-05"
"1200,2.29374167289753e-05"
"1800,3.26844052764604e-05"
"2400,2.19547487362713e-05"
"3000,3.16505588233124e-05"
"3600,2.89176781850555e-05"
"4200,7.52166879608562e-06"
"4800,3.56253138874988e-05"
