"240,0.212707803581994"
"480,0.206934345467828"
"720,0.2055848960171"
"960,0.204910020909524"
"1200,0.21081507770807"
"1440,0.192378933309843"
"1680,0.166348862865094"
"1920,0.177748039812162"
"2160,0.183199817454162"
"2400,0.183881607348133"
"2640,0.176990704460249"
"2880,0.184644974550585"
"3120,0.194560494610618"
"3360,0.175060812572768"
"3600,0.1981201279696"
"3840,0.166447322483538"
"4080,0.184192547684296"
"4320,0.175029170918634"
"4560,0.20384621603814"
"4800,0.177608924920542"
"5040,0.176096363664914"
