"240,0.213273593513316"
"480,0.257723813971181"
"720,0.303225033232085"
"960,0.245261822874717"
"1200,0.289718663713718"
"1440,0.215335035770799"
"1680,0.138377163352426"
"1920,0.171583025620165"
"2160,0.194298671417986"
"2400,0.184111019199395"
"2640,0.185392194941744"
"2880,0.17540926198055"
"3120,0.232003693626292"
"3360,0.157167744461105"
"3600,0.216048607334125"
"3840,0.154436298484041"
"4080,0.202646187367934"
"4320,0.181030202505513"
"4560,0.221507721628291"
"4800,0.166383724319657"
"5040,0.180976421434152"
