"720,2.00808479933274e-05"
"1440,2.7334809845255e-05"
"2160,2.60073638087747e-05"
"2880,3.04421569981787e-05"
"3600,1.83097642518511e-05"
"4320,4.61423925991973e-06"
"5040,1.10261445725525e-05"
