"240,0.000600674087024919"
"480,0.000761696822131728"
"720,0.000252052370436592"
"960,9.54961075387248e-06"
"1200,0.000108269878982861"
"1440,3.44844749575984e-05"
"1680,0.000468685004397539"
"1920,0.000424666596744731"
"2160,7.47069388627643e-05"
"2400,0.00189174009922612"
"2640,1.72588339989154e-05"
"2880,0.000142314386009023"
"3120,0.0020844305034023"
"3360,3.74827212317873e-05"
"3600,0.00400467414283072"
"3840,9.60181383711834e-05"
"4080,0.000283949360269752"
"4320,1.03054967584867e-05"
"4560,2.40895218936647e-05"
"4800,8.22882399981173e-05"
"5040,0.000387497492211157"
