"240,0.221189732346017"
"480,0.227527270460601"
"720,0.129545478391234"
"960,0.11839382883064"
"1200,0.146695424128735"
"1440,0.155032556122242"
"1680,0.106743456640537"
"1920,0.148531241225606"
"2160,0.134754998159709"
"2400,0.129050839770302"
"2640,0.164120625779883"
"2880,0.131166615895386"
"3120,0.174062241878079"
"3360,0.0992941104772775"
"3600,0.130546379747662"
"3840,0.139840710183442"
"4080,0.148018492003119"
"4320,0.140478539029986"
"4560,0.155482625607014"
"4800,0.161984597156939"
"5040,0.157155524390672"
