"240,0.750617073531364"
"480,0.738296821840426"
"720,0.827063676296514"
"960,0.837823032193453"
"1200,0.798193101807275"
"1440,0.793794805369855"
"1680,0.857760506939625"
"1920,0.859999433777086"
"2160,0.821657143153814"
"2400,0.831886641691517"
"2640,0.781700567108278"
"2880,0.825331377344371"
"3120,0.831312474954769"
"3360,0.865589117874217"
"3600,0.818341969922185"
"3840,0.819161134280994"
"4080,0.789122745921428"
"4320,0.811076921272732"
"4560,0.788880038544005"
"4800,0.798775420099266"
"5040,0.799110548817801"
