"240,0.0259308815002441"
"480,0.0149598121643066"
"720,0.0189781188964844"
"960,0.0169360637664795"
"1200,0.0169548988342285"
"1440,0.0169548988342285"
"1680,0.0179510116577148"
"1920,0.018949031829834"
"2160,0.0159289836883545"
"2400,0.0159280300140381"
"2640,0.0159580707550049"
"2880,0.0169789791107178"
"3120,0.0159568786621094"
"3360,0.0159828662872314"
"3600,0.0169548988342285"
"3840,0.0159580707550049"
"4080,0.018949031829834"
"4320,0.0159590244293213"
"4560,0.0169548988342285"
"4800,0.0179510116577148"
"5040,0.0199460983276367"
