"240,0.657998521314832"
"480,0.688503578869257"
"720,0.712766753825385"
"960,0.668748887860037"
"1200,0.656890551717159"
"1440,0.648415963100361"
"1680,0.672374079237265"
"1920,0.66750893834728"
"2160,0.681322597332266"
"2400,0.685609194032672"
"2640,0.665959701603339"
"2880,0.680274134051104"
"3120,0.677939353873788"
"3360,0.675823577791677"
"3600,0.693743321339174"
"3840,0.654313238662916"
"4080,0.663571121499186"
"4320,0.709180022162743"
"4560,0.679848904126415"
"4800,0.638791079309042"
"5040,0.685271867710467"
