;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.006951809;0.005981207;0.07476902
2400;0.005987883;0.005961895;0.062855005
3600;0.005984068;0.005983829;0.062831879
4800;0.006983042;0.009974003;0.065829039
6000;0.005984068;0.005954981;0.059861898
