;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.039761096;0.117668819;0.028215683
2400;0.022953942;0.103124893;0.039725146
3600;0.022070467;0.095055796;0.009701821
4800;0.072898689;0.131656478;0.087563036
6000;0.006202265;0.097389185;0.035805842
