;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.890883481;0.832026617;0.939044643
2400;0.978571432;0.855738152;0.911131406
3600;0.981063026;0.838741927;0.985892407
4800;0.795308172;0.827754124;0.904490287
6000;0.989178466;0.820660006;0.931607709
