"240,0.0206476872981861"
"480,0.0108664181557735"
"720,0.0316554766985175"
"960,0.060212981513118"
"1200,0.0261321514927469"
"1440,0.0252577195134532"
"1680,0.00688556204051885"
"1920,0.0298594766074113"
"2160,0.0312357612442822"
"2400,0.0363008621398417"
"2640,0.0198319360849436"
"2880,0.0262928873167395"
"3120,0.0255649473229465"
"3360,0.0327676073089974"
"3600,0.00894938656456014"
"3840,0.0125121083859541"
"4080,0.0380343245732762"
"4320,0.0581615910070004"
"4560,0.021141608080095"
"4800,0.0837362390607118"
"5040,0.00515122188012677"
