"240,0.953305616775784"
"480,0.972455305882382"
"720,0.930223072523242"
"960,0.946213101566082"
"1200,0.942013540934048"
"1440,0.956140175546281"
"1680,0.991839763993866"
"1920,0.959590892896196"
"2160,0.927453960025014"
"2400,0.916977594630432"
"2640,0.955656482360616"
"2880,0.938060614908218"
"3120,0.938280448448563"
"3360,0.909579718438425"
"3600,0.986284608397994"
"3840,0.978972510671231"
"4080,0.962386377236907"
"4320,0.945816736655333"
"4560,0.943887008571087"
"4800,0.905178575072281"
"5040,0.99635435096961"
