;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.06577467;0.027274169;3.10E-06
2400;0.061713669;0.033834359;1.38E-05
3600;0.036639012;0.077368642;1.41E-05
4800;0.062152187;0.074922187;2.28E-06
6000;0.066157531;0.02577713;3.40E-07
