;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.088791847;0.167543173;2.089437008
2400;0.052832127;0.187492847;3.432102919
3600;0.052859068;0.11770606;2.011053801
4800;0.057821989;0.177525997;5.462269068
6000;0.042886019;0.216420174;2.81753397
