;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.019080969;0.042380887;0.165380067
2400;0.018510807;0.060059695;0.412446606
3600;0.004024969;0.301063845;0.547214239
4800;0.017727309;0.166615693;0.100140251
6000;0.019055077;0.033456371;0.316657362
