;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.960042039;0.944399455;0.71681131
2400;0.964471345;0.932141029;0.754972448
3600;0.991477827;0.760743763;0.76027322
4800;0.965828415;0.83394601;0.862437824
6000;0.960465122;0.95239659;0.56844067
