;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
2;37.50623959;1.478408976;0.026537528
3;3.810818231;2.051909872;0.020162702
4;23.65287119;1.987091924;0.021179729
5.00;123.0895185;1.923926574;0.028099384
6.00;116.323461;1.729835302;0.028874008
7;21.18332397;3.477635968;0.027814189
8.00;112.3865079;3.433665414;0.021604411
9;21.68174602;4.257496062;0.236457727
10.00;109.6552869;5.281595583;0.024369783
