;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.970002965;0.809666198;0.267164504
2400;0.278849801;0.275938238;-0.18015929
3600;0.461951132;0.607832158;0.202548669
4800;0.756153644;0.643387;0.654059602
6000;0.987954384;0.725210821;-0.473757992
