;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.007998943;0.007978201;0.075798035
2400;0.008975983;0.010972977;0.135670185
3600;0.021940947;0.015954018;0.218439102
4800;0.006957054;0.015957117;0.184478045
6000;0.006980896;0.011972904;0.212203026
