;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.031072782;0.271028002;7.379946932
2400;8.041276426;5.871012776;132.5104525
3600;2.744920099;0.316149146;36.2936828
4800;7.217447852;0.488088881;1.685322985
6000;0.011917994;0.614509552;369.1883095
