;Benchmark2_10000;BarsGaussAN0_10000;KDD-Cup'99
1200;0.117715908;0.052970642;0.000715068
2400;0.494182886;0.539472351;0.002421937
3600;0.178220469;0.04326535;0.00238829
4800;0.240800827;0.100233661;1.41E-05
6000;0.078810581;0.088481413;0.036429465
