"240,0.292255737182138"
"480,0.301743146571537"
"720,0.344070560822172"
"960,0.332265248161675"
"1200,0.313578832555212"
"1440,0.290920197787949"
"1680,0.288200856352603"
"1920,0.289026035399336"
"2160,0.265672103661127"
"2400,0.320102737756084"
"2640,0.338248602397252"
"2880,0.282566525238541"
"3120,0.272389907894043"
"3360,0.337984491501862"
"3600,0.327650690764225"
"3840,0.300469081728096"
"4080,0.305816455565924"
"4320,0.317811115024977"
"4560,0.308175536580395"
"4800,0.274118594184234"
"5040,0.335190499053723"
