"240,0.198524183125816"
"480,0.00540896122391023"
"720,0.0239014831025073"
"960,0.0164541149966945"
"1200,0.0183257108377575"
"1440,0.0387391993446832"
"1680,0.00402114899366107"
"1920,0.00696498059305008"
"2160,0.02389822274814"
"2400,0.0265666256565431"
"2640,0.130217501101999"
"2880,0.0238920853631509"
"3120,0.0343695803036477"
"3360,0.040516848697609"
"3600,0.00300992180044481"
"3840,0.00799403835521223"
"4080,0.0449352146541818"
"4320,0.00331460589216439"
"4560,0.0340719222624497"
"4800,0.00314120211189987"
"5040,0.0823076344431194"
