"240,0.660722670402826"
"480,0.730028086911878"
"720,0.777734370645649"
"960,0.542095375540905"
"1200,0.678010436670412"
"1440,0.541935379104482"
"1680,0.896569883236683"
"1920,0.719272080722857"
"2160,0.728688809230531"
"2400,0.747082063358342"
"2640,0.80033903520506"
"2880,0.680834516332807"
"3120,0.611307752706074"
"3360,0.868431537737273"
"3600,0.380047659214502"
"3840,0.691985409764129"
"4080,0.721929727585123"
"4320,0.86232999524391"
"4560,0.782707547100419"
"4800,0.743932525729356"
"5040,0.6780221194189"
